epoch;loss;val_loss
0;7419.38896973;inf
1;7042.54948242;1.24239774451e+35
2;7030.82376953;inf
3;7034.07429688;2.30374411044e+16
4;7042.91609863;12815927041.0
5;7061.43509766;140220332145.0
6;7708.30469727;5.93834678584e+22
7;2.26187288887e+23;3007916085.27
8;1.1019459565e+24;2.49420959411e+26
9;6.63039623276e+23;inf
10;7708.38356689;1.00409977385e+20
11;7708.38355469;40760785.8681
12;7708.38352051;inf
13;676611790.845;6.64488210233e+25
14;7708.38358887;26420073096.6
15;7708.3835498;inf
16;inf;inf
17;7702.7926416;1.07683767201e+32
18;7708.38354004;15386552747.6
19;7708.38354004;inf
20;7708.33901367;inf
21;7708.38354492;1.2818997395e+33
22;7708.38358398;inf
23;7708.38351562;inf
24;7708.38353516;inf
25;7708.38358398;7.87266855243e+17
26;7708.38354492;445599961.963
27;7708.3835498;150414796919.0
28;7708.38353516;2463000810.12
29;7708.38352051;4950075970.8
30;7708.38358398;inf
31;7708.38355469;inf
32;7708.38353027;1.80387701505e+25
33;7708.38351074;5.91814975717e+31
34;7708.38361816;3908081568.07
35;7708.3835498;2.33437855178e+35
36;7708.38354004;inf
37;inf;inf
38;7708.38354004;2951804628.2
39;7708.38353027;inf
40;7.28555133491e+31;inf
41;7708.3836084;32524785536.9
42;7708.3835498;581492800051.0
43;4.78897859806e+23;27522117405.3
44;7708.38352051;inf
45;7708.3835498;inf
46;7708.3835791;inf
47;7708.38359375;1.42983696693e+35
48;32238.9356885;inf
49;inf;inf
