epoch;loss;val_loss
0;9232.8457328;7786.03206958
1;7676.21223815;7786.03207484
2;7676.21220734;7786.0322353
3;7676.21218007;7786.03206695
4;7676.21209648;7786.03221425
5;7676.21215566;7786.03207747
6;7676.21213579;7786.03225634
7;7676.21212443;7786.0320801
8;7676.21214766;7786.03206695
9;7676.21220978;7786.03240891
10;7676.21211441;7786.0322616
11;7676.2122182;7786.03240365
12;7676.21212232;7786.03207221
13;7676.21215372;7786.03223004
14;7676.21229438;7786.0324168
15;7676.21221955;7786.03206695
16;7676.21213446;7786.03190386
17;7676.21217855;7786.03224319
18;7676.21216732;7786.03208536
19;7676.21220486;7786.03207747
20;7676.21221778;7786.03224056
21;7676.21213878;7786.03206169
22;7676.21219951;7786.03225108
23;7676.21218983;7786.03208536
24;7676.21218243;7786.03241417
25;7676.21213832;7786.03241943
26;7676.21225852;7786.03205116
27;7676.21215397;7786.03206695
28;7676.21216172;7786.03205642
29;7676.21219817;7786.03204853
30;7676.21225238;7786.03209062
31;7676.21221054;7786.03241417
32;7676.21224219;7786.03208536
33;7676.21222527;7786.03206432
34;7676.21218398;7786.03221951
35;7676.21220524;7786.03241417
36;7676.21223445;7786.03238786
37;7676.2122299;7786.0320459
38;7676.21226105;7786.03207747
39;7676.21215785;7786.03222477
40;7676.21213263;7786.03223004
41;7676.21220692;7786.03207747
42;7676.21219;7786.03206169
43;7676.21220995;7786.03208799
44;7676.212115;7786.03207221
45;7676.21216163;7786.03241417
46;7676.21216938;7786.03239576
47;7676.21220818;7786.03188544
48;7678.4561177;7786.03207221
49;7676.21216576;7786.03210377
